event_id,t
0a79aaab-795a-4239-97ed-c38169914b13,mousemove
0d96d1e3-db79-44a8-b2c3-2e102119254d,mouseinteraction
15f7a01a-9f4f-4d8d-a767-162a7c39cff0,mouseinteraction
1ff7a5e2-931c-4524-b2d1-56b1ef932012,input
27472c7b-e4d9-475b-bc49-9bb92eaa8add,mousemove
33516b2c-1f2e-490b-a35a-73a20181513d,mouseinteraction
44bd65c8-c92c-4502-ade4-b88c736f83c4,mouseinteraction
4ab471ea-5cd5-4217-895a-692d51cfaa3d,mousemove
4c0107d6-08bc-44a8-9c52-5833de2ad728,input
503f5c9e-6d9a-4fd8-aa68-0344feafc196,mousemove
5437bf09-5f9c-4090-81be-65264cc8703e,scroll
5961c92f-ced3-41d6-b603-b2d1d43ac145,mousemove
5e3ae7e3-b572-49d8-90bf-d37a25d32529,mouseinteraction
60098620-8b9f-44ba-ad84-037b281f1fee,input
63ec4d07-654d-4448-97c1-1ce011890b55,mouseinteraction
7201ee51-0ff1-4b11-a9c0-71b14c6c4c80,selection
735bf0ed-d433-416f-806e-d0a49a6dc753,mousemove
73ca06e9-2ec9-4426-9d7b-7d362b38a604,mousemove
74722f93-0d7a-4f78-ba93-826ffe0b795c,mouseinteraction
961ea4ce-9e1c-43b4-b4e3-37e5406c9301,mouseinteraction
96c19f6a-afa3-4e80-8876-1f9dbe5a6c26,mouseinteraction
994f401f-c991-43e7-a011-f77bfa830670,mouseinteraction
a6375408-5eff-464c-8348-f40a726f295c,mouseinteraction
a7c917c3-10f5-407a-a489-55d12827b5ee,input
a8810df4-0412-4281-b34b-9709be9314a6,scroll
aceaf926-4746-4a3e-bf0d-e991bc4e6abf,scroll
afbf5361-705d-4956-a27e-ee1144ad1ff7,scroll
b739db88-6229-4192-af81-9e7049682363,mouseinteraction
b7477790-949c-4268-85ca-53dc59be4aad,mousemove
b9d0c754-c268-4ac2-ba45-e97b2e3fc8c7,mouseinteraction
ba6a3aed-5f6b-4257-9ad6-062f9ae7f8dc,mouseinteraction
bbce71cf-f271-44ac-a3db-4bc2f9db5a4b,scroll
be24ee9d-3ad4-46e5-90b6-747a254a89ae,selection
bfa97259-d7a6-4f33-8afc-2f191275b393,mouseinteraction
c4677312-ab8c-4d6f-99f7-91361dbdac87,scroll
c90c187b-e6e7-4304-9e14-b3ccebf87fd5,mouseinteraction
ca86978f-b9dd-4d8e-b516-ea7e642b3402,mousemove
d3a05847-a9b3-4535-b7d9-fb8b13dfd0b9,mouseinteraction
d44af50f-c531-488d-8f59-8243efface19,mouseinteraction
da5e2ace-8a35-45d8-bbde-07d1971966e3,input
da84b00b-77ae-40a9-8479-aa9d4aeb6413,mouseinteraction
f04baaad-5ed1-46b4-ad74-86b0dd9ff046,mouseinteraction
f8854007-e7b1-43e5-a017-11a7cb559910,mouseinteraction
f94b447b-bc29-4c40-abce-187ca857362c,selection
ff170e29-fadd-49b1-8a26-8584efa7ca9f,input